0 0 0 BB.C..DD.COP.AAQOPEEFQOPG.FQ..G..RRR  
1 1 0 .BBC..DD.COP.AAQOPEEFQOPG.FQ..G..RRR B99  
1 1 0 BB.CO.DD.COP.AAQOPEEFQ.PG.FQ..G..RRR O99  
1 1 0 BB.C..DD.COPAA.QOPEEFQOPG.FQ..G..RRR A99  
1 1 0 BB.C..DD.COP.AAQOPEEFQOPG.FQ..GRRR.. R98  
1 1 0 BB.C..DD.CO..AAQOPEEFQOPG.FQ.PG..RRR P99  
1 1 0 BB.C...DDCOP.AAQOPEEFQOPG.FQ..G..RRR D99  
1 1 0 BB.C.PDD.COP.AAQOPEEFQO.G.FQ..G..RRR P99  
1 1 0 BB.C..DD.C.P.AAQOPEEFQOPG.FQO.G..RRR O99  
1 1 0 BB.C..DD.COP.AAQOPEEFQOPG.FQ..G.RRR. R99  
1 1 0 BB.C..DD.COP.AAQOPEE.QOPG.FQ..G.FRRR F99  
2 2 0 .BBC..DD.COPAA.QOPEEFQOPG.FQ..G..RRR A99 B99  
2 2 0 .BBC..DD.COP.AAQOPEEFQOPG.FQ..GRRR.. R98 B99  
2 2 0 BB.C..DD.COPAA.QOPEE.QOPG.FQ..G.FRRR F99 A99  
2 2 0 BB.C..DD.COPAA.QOPEEFQOPG.FQ..GRRR.. R98 A99  
2 2 0 BB.C..DD.CO..AAQO.EEFQOPG.FQ.PG.RRRP P98 R99  
2 2 0 BB.C..DD.COP.AAQOP.EEQOPG.FQ..G.FRRR E99 F99  
2 2 0 BBFC..DDFCOPAA.QOPEE.QOPG..Q..G..RRR F97 A99  
2 2 0 .BBC..DD.CO..AAQOPEEFQOPG.FQ.PG..RRR P99 B99  
2 2 0 BB.C..DDFCOPAAFQOPEE.QOPG..Q..G..RRR F98 A99  
2 2 0 BB.C..DD.COPAAFQOPEEFQOPG..Q..G..RRR F99 A99  
2 2 0 .BBC.PDD.COP.AAQOPEEFQO.G.FQ..G..RRR P99 B99  
2 2 0 BB.CO.DD.COP.AAQOPEEFQ.PG.FQ..GRRR.. R98 O99  
2 2 0 BB.C..DD.CO.AA.QOPEEFQOPG.FQ.PG..RRR P99 A99  
2 2 0 BB.C.PDD.COPAA.QOPEEFQO.G.FQ..G..RRR P99 A99  
2 2 0 .BBC..DD.C.P.AAQOPEEFQOPG.FQO.G..RRR O99 B99  
2 2 0 BB.C..DD.C.PAA.QOPEEFQOPG.FQO.G..RRR O99 A99  
2 2 0 BB.C...DDCOPAA.QOPEEFQOPG.FQ..G..RRR D99 A99  
2 2 0 .BBCO.DD.COP.AAQOPEEFQ.PG.FQ..G..RRR O99 B99  
2 2 0 BB.CO.DD.COP.AAQOPEEFQ.PG.FQ..G.RRR. R99 O99  
2 2 0 BB.C..DD.CO..AAQO.EEFQOPG.FQ.PGRRR.P P98 R98  
2 2 0 BB.C..DD.C.P.AAQOPEE.QOPG.FQO.G.FRRR F99 O99  
2 2 0 BB.C..DD.C.P.AAQOPEEFQOPG.FQO.G.RRR. R99 O99  
2 2 0 BB.CO.DD.COP.AAQOPEE.Q.PG.FQ..G.FRRR F99 O99  
2 2 0 BB.C.PDD.COP.AAQOPEE.QO.G.FQ..G.FRRR F99 P99  
2 2 0 BB.C.PDD.C.P.AAQOPEEFQO.G.FQO.G..RRR O99 P99  
2 2 0 .BBC...DDCOP.AAQOPEEFQOPG.FQ..G..RRR D99 B99  
2 2 0 BB.CO.DD.COPAA.QOPEEFQ.PG.FQ..G..RRR A99 O99  
2 2 0 BB.C...DDCOP.AAQOPEE.QOPG.FQ..G.FRRR F99 D99  
2 2 0 BB.C.P.DDCOP.AAQOPEEFQO.G.FQ..G..RRR P99 D99  
2 2 0 BB.CO.DD.CO..AAQOPEEFQ.PG.FQ.PG..RRR P99 O99  
2 2 0 BB.C...DDC.P.AAQOPEEFQOPG.FQO.G..RRR O99 D99  
2 2 0 BB.C..DD.CO..AAQOPEE.QOPG.FQ.PG.FRRR F99 P99  
2 2 0 BB.COPDD.COP.AAQOPEEFQ..G.FQ..G..RRR P99 O99  
2 2 0 BB.C..DD.C...AAQOPEEFQOPG.FQOPG..RRR O99 P99  
2 2 0 BB.C..DD.CO..AAQOPEEFQOPG.FQ.PG.RRR. R99 P99  
2 2 0 BB.C.PDD.COP.AAQOPEEFQO.G.FQ..G.RRR. R99 P99  
2 2 0 BB.C...DDCO..AAQOPEEFQOPG.FQ.PG..RRR D99 P99  
2 2 0 BB.CO..DDCOP.AAQOPEEFQ.PG.FQ..G..RRR D99 O99  
2 2 0 BB.C..DD.CO..AAQOPEEFQOPG.FQ.PGRRR.. P99 R98  
2 2 0 BB.C.PDD.COP.AAQOPEEFQO.G.FQ..GRRR.. P99 R98  
2 2 0 .BBC..DD.COP.AAQOPEEFQOPG.FQ..G.RRR. R99 B99  
2 2 0 BB.C..DD.C.P.AAQ.PEEFQOPG.FQO.GRRRO. O98 R98  
2 2 0 BB.C...DDCOP.AAQOPEEFQOPG.FQ..G.RRR. R99 D99  
2 2 0 BB.C..DD.C.P.AAQOPEEFQOPG.FQO.GRRR.. O99 R98  
2 2 0 .BBC..DD.COP.AAQOPEE.QOPG.FQ..G.FRRR F99 B99  
2 2 0 BB.C...DDCOP.AAQOPEEFQOPG.FQ..GRRR.. D99 R98  
2 2 0 BB.C..DD.COPAA.QOPEEFQOPG.FQ..G.RRR. R99 A99  
3 3 0 BB.C..DD.CO.AA.QOPEEFQOPG.FQ.PG.RRR. R99 P99 A99  
3 3 0 BB.C...DDCOPAAFQOPEEFQOPG..Q..G..RRR D99 F99 A99  
3 3 0 .BBC.PDD.COPAA.QOPEEFQO.G.FQ..G..RRR P99 A99 B99  
3 3 0 BB.C..DDFCOPAAFQOP.EEQOPG..Q..G..RRR E99 F98 A99  
3 3 0 BB.C..DDFCO.AAFQOPEE.QOPG..Q.PG..RRR P99 F98 A99  
3 3 0 .BBC..DD.C.PAA.QOPEEFQOPG.FQO.G..RRR O99 A99 B99  
3 3 0 BB.C.PDDFCOPAAFQOPEE.QO.G..Q..G..RRR P99 F98 A99  
3 3 0 BB.CO.DD.CO..AAQO.EEFQ.PG.FQ.PGRRR.P P98 R98 O99  
3 3 0 BB.C..DDFC.PAAFQOPEE.QOPG..QO.G..RRR O99 F98 A99  
3 3 0 .BBCO.DD.COPAA.QOPEEFQ.PG.FQ..G..RRR O99 A99 B99  
3 3 0 BB.CO.DDFCOPAAFQOPEE.Q.PG..Q..G..RRR O99 F98 A99  
3 3 0 .BBC..DD.CO..AAQOPEE.QOPG.FQ.PG.FRRR F99 P99 B99  
3 3 0 .BBC...DDCOPAA.QOPEEFQOPG.FQ..G..RRR D99 A99 B99  
3 3 0 .BBC..DD.C...AAQOPEEFQOPG.FQOPG..RRR O99 P99 B99  
3 3 0 BB.C...DDCOPAA.QOPEEFQOPG.FQ..G.RRR. R99 D99 A99  
3 3 0 BB.C..DD.C...AAQOPEE.QOPG.FQOPG.FRRR P99 F99 O99  
3 3 0 BB.C.P.DDCOP.AAQOPEEFQO.G.FQ..GRRR.. R98 P99 D99  
3 3 0 BB.C...DDC.P.AAQOPEEFQOPG.FQO.G.RRR. D99 R99 O99  
3 3 0 .BBCO.DD.CO..AAQOPEEFQ.PG.FQ.PG..RRR O99 P99 B99  
3 3 0 .BBC...DDCO..AAQOPEEFQOPG.FQ.PG..RRR D99 P99 B99  
3 3 0 BB.C..DD.C.PAA.QOPEEFQOPG.FQO.G.RRR. R99 O99 A99  
3 3 0 BBFC..DDFCOPAA.QOPEE.QOPG..Q..G.RRR. R99 F97 A99  
3 3 0 BBFC..DDFCOPAA.QOP.EEQOPG..Q..G..RRR E99 F97 A99  
3 3 0 .BBCO.DD.COP.AAQOPEEFQ.PG.FQ..G.RRR. R99 O99 B99  
3 3 0 BB.C..DD.C...AAQ..EEFQOPG.FQOPGRRROP O98 P98 R98  
3 3 0 BBFC..DDFCO.AA.QOPEE.QOPG..Q.PG..RRR P99 F97 A99  
3 3 0 BBFC.PDDFCOPAA.QOPEE.QO.G..Q..G..RRR P99 F97 A99  
3 3 0 BB.CO.DD.COPAA.QOPEEFQ.PG.FQ..G.RRR. A99 R99 O99  
3 3 0 BBFC..DDFC.PAA.QOPEE.QOPG..QO.G..RRR O99 F97 A99  
3 3 0 BBFCO.DDFCOPAA.QOPEE.Q.PG..Q..G..RRR O99 F97 A99  
3 3 0 BB.C..DD.C...AAQOPEEFQOPG.FQOPG.RRR. P99 R99 O99  
3 3 0 BB.C.P.DDCOP.AAQOPEE.QO.G.FQ..G.FRRR D99 F99 P99  
3 3 0 BB.C...DDCO..AAQOPEE.QOPG.FQ.PG.FRRR P99 F99 D99  
3 3 0 BB.C..DD.COP.AAQOPGEEQOPG.FQ....FRRR G99 E99 F99  
3 3 0 BB.C..DD.CO..AAQOP.EEQOPG.FQ.PG.FRRR P99 E99 F99  
3 3 0 BB.CO.DD.CO..AAQOPEE.Q.PG.FQ.PG.FRRR P99 F99 O99  
3 3 0 BB.C.PDD.COP.AAQOP.EEQO.G.FQ..G.FRRR P99 E99 F99  
3 3 0 BB.C..DD.C.P.AAQOP.EEQOPG.FQO.G.FRRR O99 E99 F99  
3 3 0 BB.C.PDD.C.P.AAQOPEEFQO.G.FQO.GRRR.. R98 O99 P99  
3 3 0 .BBC...DDCOP.AAQOPEE.QOPG.FQ..G.FRRR F99 D99 B99  
3 3 0 BB.CO.DD.COP.AAQOP.EEQ.PG.FQ..G.FRRR O99 E99 F99  
3 3 0 BB.C...DDCOP.AAQOP.EEQOPG.FQ..G.FRRR D99 E99 F99  
3 3 0 .BBC...DDCOP.AAQOPEEFQOPG.FQ..G.RRR. R99 D99 B99  
3 3 0 .BBC..DD.COP.AAQOP.EEQOPG.FQ..G.FRRR B99 E99 F99  
3 3 0 BB.C..DD.C...AAQO.EEFQOPG.FQOPG.RRRP O99 P98 R99  
3 3 0 BB.CO..DDCO..AAQOPEEFQ.PG.FQ.PG..RRR D99 P99 O99  
3 3 0 BB.C...DDC...AAQOPEEFQOPG.FQOPG..RRR P99 O99 D99  
3 3 0 BB.COP.DDCOP.AAQOPEEFQ..G.FQ..G..RRR O99 P99 D99  
3 3 0 BB.C.PDD.C.P.AAQOPEEFQO.G.FQO.G.RRR. P99 R99 O99  
3 3 0 BB.CO.DD.CO..AAQO.EEFQ.PG.FQ.PG.RRRP O99 P98 R99  
3 3 0 BB.C...DDCO..AAQO.EEFQOPG.FQ.PG.RRRP D99 P98 R99  
3 3 0 BB.C...DDC.P.AAQOPEEFQOPG.FQO.GRRR.. R98 O99 D99  
3 3 0 .BBC..DD.CO..AAQO.EEFQOPG.FQ.PG.RRRP B99 P98 R99  
3 3 0 BB.C..DDFCOPAAFQOPEE.QOPG..Q..GRRR.. F98 R98 A99  
3 3 0 BB.C.P.DDCOP.AAQOPEEFQO.G.FQ..G.RRR. R99 P99 D99  
3 3 0 BB.C...DDCO..AAQOPEEFQOPG.FQ.PG.RRR. D99 R99 P99  
3 3 0 BB.C..DD.COPAAFQOPEEFQOPG..Q..GRRR.. F99 R98 A99  
3 3 0 BB.C..DD.CO.AA.QO.EEFQOPG.FQ.PGRRR.P P98 R98 A99  
3 3 0 BB.C..DD.C...AAQOPEEFQOPG.FQOPGRRR.. R98 O99 P99  
3 3 0 BB.C..DD.CO.AA.QOPEEFQOPG.FQ.PGRRR.. P99 R98 A99  
3 3 0 BB.C.PDD.COPAA.QOPEEFQO.G.FQ..GRRR.. P99 R98 A99  
3 3 0 BB.C...DDCO..AAQOPEEFQOPG.FQ.PGRRR.. R98 D99 P99  
3 3 0 BB.C..DD.C...AAQ.PEEFQOPG.FQOPGRRRO. O98 P99 R98  
3 3 0 BB.C...DDC.P.AAQ.PEEFQOPG.FQO.GRRRO. D99 O98 R98  
3 3 0 BB.C..DD.C.PAA.Q.PEEFQOPG.FQO.GRRRO. O98 R98 A99  
3 3 0 BB.C..DD.C.PAA.QOPEEFQOPG.FQO.GRRR.. O99 R98 A99  
3 3 0 BB.C.P.DDC.P.AAQOPEEFQO.G.FQO.G..RRR D99 O99 P99  
3 3 0 BB.CO.DD.COPAA.QOPEEFQ.PG.FQ..GRRR.. O99 R98 A99  
3 3 0 BB.C...DDCOPAA.QOPEEFQOPG.FQ..GRRR.. D99 R98 A99  
3 3 0 BB.CO..DDCOP.AAQOPEE.Q.PG.FQ..G.FRRR D99 F99 O99  
3 3 0 BB.C.PDD.C.P.AAQ.PEEFQO.G.FQO.GRRRO. O98 P99 R98  
3 3 0 BB.C..DD.CO.AA.QOPEE.QOPG.FQ.PG.FRRR P99 F99 A99  
3 3 0 BB.C.PDD.COPAA.QOPEE.QO.G.FQ..G.FRRR P99 F99 A99  
3 3 0 BB.C...DDC.P.AAQOPEE.QOPG.FQO.G.FRRR D99 F99 O99  
3 3 0 BB.C..DD.C...AAQO.EEFQOPG.FQOPGRRR.P O99 P98 R98  
3 3 0 BB.C..DD.C.PAA.QOPEE.QOPG.FQO.G.FRRR O99 F99 A99  
3 3 0 BB.C...DDCO..AAQO.EEFQOPG.FQ.PGRRR.P D99 P98 R98  
3 3 0 BB.CO.DD.CO..AAQOPEEFQ.PG.FQ.PG.RRR. P99 R99 O99  
4 4 0 .BBC..DDFCOPAAFQOPEE.QOPG..Q..GRRR.. F98 R98 A99 B99  
4 4 0 BB.C..DD.COPAA.QOPGEEQOPG.FQ....FRRR G99 E99 F99 A99  
4 4 0 BB.C.PDD.C.P.AAQOP.EEQO.G.FQO.G.FRRR E99 P99 F99 O99  
4 4 0 BB.CO..DDCOPAA.QOPEEFQ.PG.FQ..GRRR.. R98 O99 D99 A99  
4 4 0 BB.C...DDCO.AA.QOPEEFQOPG.FQ.PGRRR.. R98 D99 P99 A99  
4 4 0 BB.C..DDFCO.AAFQOPEE.QOPG..Q.PG.RRR. P99 R99 F98 A99  
4 4 0 .BBC..DD.CO.AA.QOPEEFQOPG.FQ.PG.RRR. P99 R99 A99 B99  
4 4 0 .BBC.PDD.COPAA.QOPEEFQO.G.FQ..G.RRR. P99 R99 A99 B99  
4 4 0 BB.CO.DD.COPAA.QOP.EEQ.PG.FQ..G.FRRR E99 O99 F99 A99  
4 4 0 BBFC..DDFCOP.AAQOPEE.QOPG..Q..GRRR.. R98 A98 F97 A99  
4 4 0 BB.COPDD.COPAA.QOPEEFQ..G.FQ..G.RRR. A99 P99 R99 O99  
4 4 0 .BBC..DD.C.PAA.QOPEEFQOPG.FQO.G.RRR. A99 R99 O99 B99  
4 4 0 BB.COPDD.COP.AAQOP.EEQ..G.FQ..G.FRRR E99 P99 F99 O99  
4 4 0 BB.C...DDCO.AA.QOPEE.QOPG.FQ.PG.FRRR P99 D99 F99 A99  
4 4 0 .BBC..DD.C...AAQ..EEFQOPG.FQOPGRRROP O98 P98 R98 B99  
4 4 0 BB.CO..DDCOPAA.QOPEEFQ.PG.FQ..G.RRR. A99 D99 R99 O99  
4 4 0 .BBCO.DD.COP.AAQOP.EEQ.PG.FQ..G.FRRR E99 F99 O99 B99  
4 4 0 .BBC..DD.C...AAQ.PEEFQOPG.FQOPGRRRO. O98 P99 R98 B99  
4 4 0 .BBCO..DDCOP.AAQOPEEFQ.PG.FQ..GRRR.. R98 D99 O99 B99  
4 4 0 BB.C...DDC.PAA.QOPEEFQOPG.FQO.GRRR.. R98 D99 O99 A99  
4 4 0 .BBC..DD.C.P.AAQOP.EEQOPG.FQO.G.FRRR E99 F99 O99 B99  
4 4 0 BB.C..DD.CO.GAAQOPGEEQOP..FQ.P..FRRR P99 G98 E99 F99  
4 4 0 BB.CO.DD.CO.AA.QOPEEFQ.PG.FQ.PGRRR.. R98 O99 P99 A99  
4 4 0 .BBCO.DD.COPAA.QOPEEFQ.PG.FQ..G.RRR. O99 R99 A99 B99  
4 4 0 .BBC...DDCOPAA.QOPEEFQOPG.FQ..G.RRR. D99 R99 A99 B99  
4 4 0 .BBC.PDD.C.P.AAQ.PEEFQO.G.FQO.GRRRO. O98 P99 R98 B99  
4 4 0 BB.C...DDCO.AAFQOPEEFQOPG..Q.PG..RRR F99 D99 P99 A99  
4 4 0 .BBC...DDCO.AA.QOPEEFQOPG.FQ.PG..RRR B99 D99 P99 A99  
4 4 0 .BBC...DDC.P.AAQOPEEFQOPG.FQO.GRRR.. R98 D99 O99 B99  
4 4 0 BBFC..DDFCOPAA.QOP.EEQOPG..Q..GRRR.. E99 F97 R98 A99  
4 4 0 BB.CO.DD.CO.AA.QOPEEFQ.PG.FQ.PG.RRR. R99 O99 P99 A99  
4 4 0 BBFCO.DDFCO.AA.QOPEE.Q.PG..Q.PG..RRR F97 O99 P99 A99  
4 4 0 .BBC...DDC.P.AAQ.PEEFQOPG.FQO.GRRRO. D99 O98 R98 B99  
4 4 0 BB.CO.DDFCO.AAFQOPEE.Q.PG..Q.PG..RRR F98 O99 P99 A99  
4 4 0 BB.CO.DD.CO.AAFQOPEEFQ.PG..Q.PG..RRR F99 O99 P99 A99  
4 4 0 BB.C.PDD.C.PAA.QOPEEFQO.G.FQO.GRRR.. R98 O99 P99 A99  
