0 0 0 ...OOO...BCPAA.BCP..QDDP..QEE...QRRR  
1 1 0 ..OOO....BCPAA.BCP..QDDP..QEE...QRRR O99  
1 1 0 OOO......BCPAA.BCP..QDDP..QEE...QRRR O97  
1 1 0 ...OOO..QBCPAAQBCP..QDDP...EE....RRR Q98  
1 1 0 ...OOO...BCPAA.BCP..QDDP..Q.EE..QRRR E99  
1 1 0 ...OOO...BCPAAQBCP..QDDP..QEE....RRR Q99  
1 1 0 .OOO.....BCPAA.BCP..QDDP..QEE...QRRR O98  
1 1 0 ...OOO...BCP.AABCP..QDDP..QEE...QRRR A99  
1 1 0 ...OOO...BC.AA.BCP..QDDP..QEEP..QRRR P99  
1 1 0 ..QOOO..QBCPAAQBCP...DDP...EE....RRR Q97  
2 2 0 ..OOO....BCPAA.BCP..QDDP..Q.EE..QRRR E99 O99  
2 2 0 OOO.C....BCPAA.B.P..QDDP..QEE...QRRR C99 O97  
2 2 0 ...OOO..QBCPAAQBCP..QDDP...EE.RRR... R97 Q98  
2 2 0 ...OOO...BCPAAQBCP..QDDP..Q.EE...RRR Q99 E99  
2 2 0 ..QOOO..QBC.AAQBCP...DDP...EEP...RRR Q97 P99  
2 2 0 ..QOOO..QBCPAAQBCP...DDP...EE.RRR... R97 Q97  
2 2 0 ...OOO...BCP.AABCP..QDDP..Q.EE..QRRR A99 E99  
2 2 0 OOOB.....BCPAA..CP..QDDP..QEE...QRRR B99 O97  
2 2 0 .OOO.....BCPAA.BCP..QDDP..Q.EE..QRRR O98 E99  
2 2 0 ...OOO..QBCPAAQBCP..QDDP...EE..RRR.. R98 Q98  
2 2 0 ..OOO...QBCPAAQBCP..QDDP...EE....RRR Q98 O99  
2 2 0 OOO......BCPAA.BCP..QDDP..Q.EE..QRRR E99 O97  
2 2 0 ...OOO..QBCPAAQBCP..QDDP...EE...RRR. R99 Q98  
2 2 0 ...OOO..QBCPAAQBCP..QDDPEE.......RRR E97 Q98  
2 2 0 ..OOO....BCPAAQBCP..QDDP..QEE....RRR Q99 O99  
2 2 0 ...OOO..QBCPAAQBCP..QDDP.EE......RRR E98 Q98  
2 2 0 ...OOO..QBCPAAQBCP..QDDP..EE.....RRR E99 Q98  
2 2 0 ..OOO....BCP.AABCP..QDDP..QEE...QRRR A99 O99  
2 2 0 ...OOO..QBCPAAQBCP..QDDP....EE...RRR E99 Q98  
2 2 0 ..QOOO..QBCPAAQBCP...DDP....EE...RRR Q97 E99  
2 2 0 ...OOO...BC..AABCP..QDDP..QEEP..QRRR P99 A99  
2 2 0 ..QOOO..QBCPAAQBCP...DDP...EE..RRR.. R98 Q97  
2 2 0 ...OOO..QBC.AAQBCP..QDDP...EEP...RRR P99 Q98  
2 2 0 ..QOOO..QBCPAAQBCP...DDP...EE...RRR. R99 Q97  
2 2 0 ..QOOO..QBCPAAQBCP...DDPEE.......RRR E97 Q97  
2 2 0 ..OOO....BC.AA.BCP..QDDP..QEEP..QRRR P99 O99  
2 2 0 .OOO....QBCPAAQBCP..QDDP...EE....RRR O98 Q98  
2 2 0 ..QOOO..QBCPAAQBCP...DDP.EE......RRR E98 Q97  
2 2 0 ..QOOO..QBCPAAQBCP...DDP..EE.....RRR E99 Q97  
2 2 0 OOO.....QBCPAAQBCP..QDDP...EE....RRR Q98 O97  
2 2 0 ..QOOO..QBCPAAQBCPDD...P...EE....RRR D97 Q97  
2 2 0 ..QOOO..QBCPAAQBCP.DD..P...EE....RRR D98 Q97  
2 2 0 ..OOOP...BCPAA.BCP..QDD...QEE...QRRR P99 O99  
2 2 0 OOO......BCPAAQBCP..QDDP..QEE....RRR Q99 O97  
2 2 0 .OOO.....BC.AA.BCP..QDDP..QEEP..QRRR P99 O98  
2 2 0 ..QOOO..QBCPAAQBCP..DD.P...EE....RRR D99 Q97  
2 2 0 .OOO.....BCP.AABCP..QDDP..QEE...QRRR A99 O98  
2 2 0 OOO......BCP.AABCP..QDDP..QEE...QRRR A99 O97  
2 2 0 .OOO.P...BCPAA.BCP..QDD...QEE...QRRR P99 O98  
2 2 0 .OOOC....BCPAA.B.P..QDDP..QEE...QRRR C99 O98  
2 2 0 OOO......BC.AA.BCP..QDDP..QEEP..QRRR P99 O97  
2 2 0 ...OOO...BCPAAQBCP..QDDP..QEE..RRR.. R98 Q99  
2 2 0 ...OOO...BCPAAQBCP..QDDP..QEE.RRR... R97 Q99  
2 2 0 ...OOO...BCPAAQBCP..QDDP..QEE...RRR. R99 Q99  
2 2 0 OOO..P...BCPAA.BCP..QDD...QEE...QRRR P99 O97  
2 2 0 ...OOO...BC.AAQBCP..QDDP..QEEP...RRR P99 Q99  
2 2 0 .OOO.....BCPAAQBCP..QDDP..QEE....RRR O98 Q99  
3 3 0 ..QOOO..QBCPAAQBCP.DD..PEE.......RRR D98 E97 Q97  
3 3 0 .OOO.....BCPAAQBCP..QDDP..QEE.RRR... O98 R97 Q99  
3 3 0 ...OOO...BC.AAQBCP..QDDP..QEEP.RRR.. P99 R98 Q99  
3 3 0 ..QOOO..QBCPAAQBCP...DDP....EERRR... E99 R97 Q97  
3 3 0 .OOO.....BCPAAQBCP..QDDP..QEE..RRR.. O98 R98 Q99  
3 3 0 .OOOCP...BCPAA.B.P..QDD...QEE...QRRR C99 P99 O98  
3 3 0 ..QOOO..QBCPAAQBCPDD...P...EE.RRR... D97 R97 Q97  
3 3 0 OOO..P..QBCPAAQBCP..QDD....EE....RRR P99 Q98 O97  
3 3 0 ..QOOO..QB.PAAQBCP.DD.CP...EE....RRR C99 D98 Q97  
3 3 0 .OOOC....BC.AA.B.P..QDDP..QEEP..QRRR C99 P99 O98  
3 3 0 .OOOC....BCP.AAB.P..QDDP..QEE...QRRR C99 A99 O98  
3 3 0 ...OOO...BC.AAQBC...QDDP..QEEP..RRRP P98 R99 Q99  
3 3 0 ..QOOO..QB.PAAQBCP..DDCP...EE....RRR C99 D99 Q97  
3 3 0 ..QOOO..QBCPAAQBCP.DD..P...EE.RRR... D98 R97 Q97  
3 3 0 OOO......BCPAAQBCP..QDDP..QEE..RRR.. R98 Q99 O97  
3 3 0 OOO......BCPAAQBCP..QDDP..QEE...RRR. R99 Q99 O97  
3 3 0 ..QOOO..QBCPAAQBCP..DD.P...EE.RRR... D99 R97 Q97  
3 3 0 ...OOO...BCPAA.BCPDDQ..P..QEE...QRRR Q94 D97 Q97  
3 3 0 OOO......BC.AAQBCP..QDDP..QEEP...RRR P99 Q99 O97  
3 3 0 OOO..P...BCPAAQBCP..QDD...QEE....RRR P99 Q99 O97  
3 3 0 ..QOOO..QBC.AAQBC....DDP...EEPRRR..P P98 R97 Q97  
3 3 0 ..QOOO..Q.CPAAQBCP.DDB.P...EE....RRR B99 D98 Q97  
3 3 0 ...OOO...BCPAAQBCPDDQ..P..QEE....RRR Q95 D97 Q97  
3 3 0 ..QOOO..QBC.AAQBCP...DDP...EEP.RRR.. R98 Q97 P99  
3 3 0 ...OOO..QBCPAAQBCPDDQ..P...EE....RRR Q96 D97 Q97  
3 3 0 ..OOOP...BCPAA.BCP..Q.DD..QEE...QRRR D99 P99 O99  
3 3 0 .OOO.....BC.AAQBCP..QDDP..QEEP...RRR Q99 P99 O98  
3 3 0 ..QOOO..QB.PAAQBCPDD..CP...EE....RRR C99 D97 Q97  
3 3 0 ..QOOO..QBC.AAQBCP...DDP...EEP..RRR. R99 Q97 P99  
3 3 0 ..QOOO..Q.CPAAQBCPDD.B.P...EE....RRR B99 D97 Q97  
3 3 0 ..QOOO..QBCPAAQBCP.DD..P..EE.....RRR D98 E99 Q97  
3 3 0 ..QOOO..QBC.AAQBCP...DDPEE...P...RRR E97 Q97 P99  
3 3 0 ..QOOO..QBCPAAQBCP..DD.P..EE.....RRR D99 E99 Q97  
3 3 0 OOO......BCPAAQBCP..QDDP..QEE.RRR... R97 Q99 O97  
3 3 0 ..QOOO..QBCPAAQBCP.DD..P.EE......RRR D98 E98 Q97  
3 3 0 ..QOOO..QBC.AAQBCP...DDP.EE..P...RRR E98 Q97 P99  
3 3 0 ..QOOO..QBCPAAQBCP..DD.P.EE......RRR D99 E98 Q97  
3 3 0 .OOOC...QBCPAAQB.P..QDDP...EE....RRR C99 O98 Q98  
3 3 0 ..QOOO..QBC.AAQBCP...DDP..EE.P...RRR E99 Q97 P99  
3 3 0 ..QOOO..QBCPAAQBCP..DD.PEE.......RRR D99 E97 Q97  
3 3 0 .OOO.P...BCP.AABCP..QDD...QEE...QRRR P99 A99 O98  
3 3 0 .OOO.P...BCPAA.BCP..Q.DD..QEE...QRRR D99 P99 O98  
3 3 0 ...OOO...BC.AAQBC...QDDP..QEEPRRR..P P98 R97 Q99  
3 3 0 ..QOOO..QBCPAAQBCP...DDP.EE.....RRR. E98 R99 Q97  
3 3 0 ..QOOO..QBC.AAQBCPDD...P...EEP...RRR D97 Q97 P99  
3 3 0 ..QOOO..QBCPAAQBCP...DDP..EE....RRR. E99 R99 Q97  
3 3 0 ..QOOO..QBCPAAQBCPDD...P...EE...RRR. D97 R99 Q97  
3 3 0 ..QOOO..QBC.AAQBCP.DD..P...EEP...RRR D98 Q97 P99  
3 3 0 ..QOOO..QBCPAAQBCP.DD..P...EE...RRR. D98 R99 Q97  
3 3 0 OOO..P...BCP.AABCP..QDD...QEE...QRRR P99 A99 O97  
3 3 0 ..QOOO..QBCPAAQBCP..DD.P...EE...RRR. D99 R99 Q97  
3 3 0 ..QOOO..QBC.AAQBCP..DD.P...EEP...RRR D99 Q97 P99  
3 3 0 ..QOOO..QBC.AAQBC....DDP...EEP..RRRP P98 R99 Q97  
3 3 0 .OOO....QBC.AAQBCP..QDDP...EEP...RRR O98 P99 Q98  
3 3 0 ...OOO...BCPAAQBCP..QDDP..Q.EE.RRR.. R98 Q99 E99  
3 3 0 ..QOOO..QBCPAAQBCP...DDP.EE....RRR.. E98 R98 Q97  
3 3 0 .OOOC....BCPAAQB.P..QDDP..QEE....RRR Q99 C99 O98  
3 3 0 ...OOO...BC.AAQBC...QDDP..QEEP.RRR.P P98 R98 Q99  
3 3 0 ..QOOO..QBCPAAQBCP...DDP..EE...RRR.. E99 R98 Q97  
3 3 0 ...OOO...BCPAAQBCP..QDDP..Q.EE..RRR. R99 Q99 E99  
3 3 0 ..QOOO..QBCPAAQBCPDD...P...EE..RRR.. D97 R98 Q97  
3 3 0 ..QOOO..QBCPAAQBCP.DD..P...EE..RRR.. D98 R98 Q97  
3 3 0 OOO......BCPAAQBCP..QDDP..Q.EE...RRR O97 Q99 E99  
3 3 0 ..QOOO..QBCPAAQBCP..DD.P...EE..RRR.. D99 R98 Q97  
3 3 0 .OOO.P...BCPAAQBCP..QDD...QEE....RRR Q99 P99 O98  
3 3 0 ..QOOO..QBC.AAQBC....DDP...EEP.RRR.P P98 R98 Q97  
3 3 0 .OOO.....BCPAAQBCP..QDDP..Q.EE...RRR O98 Q99 E99  
3 3 0 .OOO.....BC..AABCP..QDDP..QEEP..QRRR O98 P99 A99  
3 3 0 ..QOOO..QBCPAAQBCP...DDP....EE..RRR. R99 Q97 E99  
4 4 0 ..OOO...QBCPAAQBCP..QDDP....EERRR... R97 Q98 E99 O99  
4 4 0 ...OOO...BCPAAQBCP..QDDPEEQ...RRR... Q97 E97 R97 Q98  
4 4 0 OOO......BC.AAQBCP..QDDP..QEEP..RRR. O97 P99 R99 Q99  
4 4 0 .OOO....QBCPAAQBCP..QDDP..EE...RRR.. R98 O98 E99 Q98  
4 4 0 ..OOO...QBC.AAQBCP..QDDPEE...P...RRR O99 P99 E97 Q98  
4 4 0 OOO......BCPAA.BCP..QDDPEEQ.....QRRR Q96 O97 E97 Q98  
4 4 0 ..OOOP...BCP.AABCP..QDD...Q.EE..QRRR P99 A99 E99 O99  
4 4 0 ..QOOO..QBC.AAQBCP.DD..P...EEP..RRR. D98 R99 Q97 P99  
4 4 0 ..QOOO..QBC.AAQBCP..DD.P...EEP..RRR. D99 R99 Q97 P99  
4 4 0 ..QOOO..QBC.AAQBCP...DDP..EE.PRRR... E99 R97 Q97 P99  
4 4 0 ...OOO..QBC.AAQBC...QDDP.EE..PRRR..P P98 E98 R97 Q98  
4 4 0 ..QOOO..QBC.AAQBCPDD...P...EEPRRR... D97 R97 Q97 P99  
4 4 0 ..QOOO..QBC.AAQBCP.DD..P...EEPRRR... D98 R97 Q97 P99  
4 4 0 OOO..P...BCP.AABCP..QDD...Q.EE..QRRR P99 O97 A99 E99  
4 4 0 ...OOO...BCPAA.BCPDDQ..P..Q.EE..QRRR Q94 D97 Q97 E99  
4 4 0 ..QOOO..QBC.AAQBCP..DD.P...EEPRRR... D99 R97 Q97 P99  
4 4 0 .OOOC...QBCPAAQB.P..QDDP...EE.RRR... C99 O98 R97 Q98  
4 4 0 ..OOO....BCPAAQBCP..QDDP..Q.EERRR... E99 R97 Q99 O99  
4 4 0 ...OOO...BCPAAQBCP..QDDPEEQ.....RRR. R99 Q97 E97 Q98  
4 4 0 ...OOO...BC.AAQBCP..QDDPEEQ..P...RRR P99 Q97 E97 Q98  
4 4 0 .OOO.....BCPAAQBCP..QDDP..Q.EE..RRR. E99 O98 R99 Q99  
4 4 0 ...OOO..QBC.AAQBC...QDDP..EE.PRRR..P P98 E99 R97 Q98  
4 4 0 OOO.....QBCPAAQBCP..QDDP....EERRR... O97 E99 R97 Q98  
4 4 0 OOO......BCPAAQBCP..QDDPEEQ......RRR O97 Q97 E97 Q98  
4 4 0 .OOO.....BCPAAQBCP..QDDPEEQ......RRR O98 Q97 E97 Q98  
4 4 0 ..QOOO..QBCPAAQBCP.DD..P....EERRR... R97 D98 Q97 E99  
4 4 0 ..OOO....BCPAAQBCP..QDDPEEQ......RRR O99 Q97 E97 Q98  
4 4 0 ..OOOP...BCPAAQBCP..Q.DD..QEE....RRR D99 P99 Q99 O99  
4 4 0 ..QOOO..QBCPAAQBCP..DD.P....EERRR... R97 D99 Q97 E99  
4 4 0 OOO.C...QBCPAAQB.P..QDDP....EE...RRR Q98 E99 C99 O97  
4 4 0 OOO.C...QBCPAAQB.P..QDDP...EE.RRR... C99 O97 R97 Q98  
4 4 0 OOOB....QBCPAAQ.CP..QDDP...EE.RRR... B99 O97 R97 Q98  
4 4 0 OOO.....QBCPAAQBCP..QDDP..EE...RRR.. R98 O97 E99 Q98  
4 4 0 ..OOOP...BCPAAQBCP..QDD...QEE...RRR. P99 R99 Q99 O99  
