0 0 0 .BCCDE.B.FDE.AAF.G..HH.G...I.....I..  
1 1 0 .BCC.E.B.FDE.AAFDG..HH.G...I.....I.. D99  
1 1 0 .BCC.E.B.F.E.AAF.G..HHDG...ID....I.. D97  
1 1 0 .BCCDE.B.FDE.AAF....HH.....I.G...I.G G98  
1 1 0 .BCCDE.B.FDE.AAF.GHH...G...I.....I.. H98  
1 1 0 .BCCDE.B.FDE.AAF....HH.G...I.G...I.. G99  
1 1 0 .BCC.E.B.F.E.AAFDG..HHDG...I.....I.. D98  
1 1 0 .BCCDE.B.FDEAA.F.G..HH.G...I.....I.. A99  
1 1 0 .BCC.E.B.F.E.AAF.G..HH.G...ID....ID. D96  
1 1 0 .BCCDE.B.FDE.AAF.G.HH..G...I.....I.. H99  
1 1 0 .BCCDE.B.FDE.AAF.G...HHG...I.....I.. H99  
2 2 0 .BCC.E.B.FDE.AAFDG.HH..G...I.....I.. H99 D99  
2 2 0 .BCC.E.B.FDE.AAFDGHH...G...I.....I.. H98 D99  
2 2 0 .BCCDE.B.FDE.AAF..HH.......I.G...I.G H98 G98  
2 2 0 .BCCDE.B..DE.AAF.GHH.F.G...I.....I.. F99 H98  
2 2 0 .BCCDE.B.FDE.AAF.G.HHI.G...I........ I99 H99  
2 2 0 .BCCDE.B..DE.AAF.G.HHF.G...I.....I.. F99 H99  
2 2 0 .BCC.E.B.F.E.AAF.GHH...G...ID....ID. D96 H98  
2 2 0 .BCC.E.B.FDE.AAFDG...HHG...I.....I.. H99 D99  
2 2 0 .BCC.E.B.F.E.AAFDGHH..DG...I.....I.. D98 H98  
2 2 0 .BCCDE.B.FDE.AAF...HH......I.G...I.G H99 G98  
2 2 0 .BCC.E.B.FDE.AAFD...HH.....I.G...I.G G98 D99  
2 2 0 .BCC.E.B.F.E.AAF.GHH..DG...ID....I.. H98 D97  
2 2 0 .BCCDE.B.FDE.AAF......HH...I.G...I.G H98 G98  
2 2 0 .BCCDE.B.FDE.AAF.....HH....I.G...I.G H99 G98  
2 2 0 .BCC.E.B.FDE.AAFD...HH.G...I.G...I.. G99 D99  
2 2 0 .BCCDE.B.FDEAA.F....HH.....I.G...I.G A99 G98  
2 2 0 .BCCD..B.FD..AAF.E..HH.E...I.G...I.G E98 G98  
2 2 0 .BCC.E.B.FDEAA.FDG..HH.G...I.....I.. A99 D99  
2 2 0 .BCCD..B.FDE.AAF.E..HH.....I.G...I.G E99 G98  
2 2 0 .BCCDE.B.FDE.AAF.GHH.I.G...I........ I99 H98  
2 2 0 .BCC.E.B.F.E.AAF.G.HH..G...ID....ID. H99 D96  
2 2 0 .BCC.E.B.F.E.AAF....HH.....IDG...IDG D96 G98  
2 2 0 .BCC.E.B.F.E.AAF.G...HHG...ID....ID. H99 D96  
2 2 0 .B.CCE.B.FDE.AAFDG..HH.G...I.....I.. C99 D99  
2 2 0 .BCC.E.B.F.E.AAFD...HHD....I.G...I.G D98 G98  
2 2 0 .B.CCE.B.F.E.AAF.G..HH.G...ID....ID. C99 D96  
2 2 0 .BCCDE.B.FDEAA.F.G...HHG...I.....I.. H99 A99  
2 2 0 .BCC.E.B.F.E.AAF.G.HH.DG...ID....I.. H99 D97  
2 2 0 .BCC.E.B.F.EAA.F.G..HH.G...ID....ID. D96 A99  
2 2 0 .BCC.E.B.F.EAA.FDG..HHDG...I.....I.. A99 D98  
2 2 0 .BCC.E.B.F.E.AAF....HHD....IDG...I.G G98 D97  
2 2 0 .BCCDE.B.FDE.AAF.....HHG...I.G...I.. H99 G99  
2 2 0 .B.CCE.B.F.E.AAFDG..HHDG...I.....I.. C99 D98  
2 2 0 .BCCDE.B.FDEAA.F.G.HH..G...I.....I.. H99 A99  
2 2 0 .BCCDE.B.FDE.AAF...HH..G...I.G...I.. H99 G99  
2 2 0 .BCC.E.B.F.E.AAF....HHDG...IDG...I.. G99 D97  
2 2 0 .BCCDE.B.FDEAA.F....HH.G...I.G...I.. A99 G99  
2 2 0 .BCCD..B.FDE.AAF.E..HH.G...I.G...I.. E99 G99  
2 2 0 .BCC.E.B.F.EAA.F.G..HHDG...ID....I.. A99 D97  
2 2 0 .BCC.E.B.F.E.AAF....HH.G...IDG...ID. D96 G99  
2 2 0 .BCC.E.B.F.E.AAFDG.HH.DG...I.....I.. H99 D98  
2 2 0 .BCC.E.B.F.E.AAFD...HHDG...I.G...I.. D98 G99  
2 2 0 .B.CCE.B.F.E.AAF.G..HHDG...ID....I.. C99 D97  
2 2 0 .BCCDE.B.FDE.AAF..HH...G...I.G...I.. G99 H98  
2 2 0 .BCCDE.B.FDEAA.F.GHH...G...I.....I.. A99 H98  
3 3 0 .B.CCE.B.FDE.AAFDGHH...G...I.....I.. C99 H98 D99  
3 3 0 .BCCD..B.FD..AAF.E...HHE...I.G...I.G E98 H99 G98  
3 3 0 .BCCD..B.FDE.AAF.E...HH....I.G...I.G E99 H99 G98  
3 3 0 .BCC.E.B.FDE.AAFD..HH......I.G...I.G G98 H99 D99  
3 3 0 .BCC.E.B.F.E.AAF.GHH.IDG...ID....... I99 H98 D97  
3 3 0 .BCCDE.B.FDEAA.F......HH...I.G...I.G A99 H98 G98  
3 3 0 .BCCDE.B..DE.AAF.....FHH...I.G...I.G F99 H98 G98  
3 3 0 .BCC.E.B.FDE.AAFD..HH..G...I.G...I.. G99 H99 D99  
3 3 0 .BCCD..B.FDE.AAF.E....HH...I.G...I.G E99 H98 G98  
3 3 0 .BCC.E.B.F.E.AAF..HH..DG...IDG...I.. G99 H98 D97  
3 3 0 .BCC.E.B.FDEAA.FDG.HH..G...I.....I.. A99 H99 D99  
3 3 0 .BCC.E.B.F.EAA.F.GHH..DG...ID....I.. A99 H98 D97  
3 3 0 .BCCD..B.FD.AA.F.E..HH.E...I.G...I.G E98 A99 G98  
3 3 0 .BCC...B.F.E.AAF.E..HH.....IDG...IDG D96 E99 G98  
3 3 0 .BCCDE.B.FDEAA.F.....HHG...I.G...I.. G99 H99 A99  
3 3 0 .BCC...B.F.E.AAF.E..HHDG...IDG...I.. E99 G99 D97  
3 3 0 .B.CCE.B.F.E.AAF.GHH..DG...ID....I.. C99 H98 D97  
3 3 0 .BCC.E.B..DE.AAFDG.HHF.G...I.....I.. F99 H99 D99  
3 3 0 .BCC.E.B.FDEAA.FD...HH.....I.G...I.G A99 G98 D99  
3 3 0 .BCC...B.FD..AAFDE..HH.E...I.G...I.G E98 G98 D99  
3 3 0 .B.CCE.B.FDE.AAFDG.HH..G...I.....I.. C99 H99 D99  
3 3 0 .BCC...B.FDE.AAFDE..HH.....I.G...I.G E99 G98 D99  
3 3 0 .B.CCE.B.FDEAA.FDG..HH.G...I.....I.. C99 A99 D99  
3 3 0 .B.CCE.B.FDE.AAFD...HH.....I.G...I.G C99 G98 D99  
3 3 0 .BCCD..B.FD..AAF.E.HH..E...I.G...I.G E98 H99 G98  
3 3 0 .BCC...B.F...AAF.E..HH.E...IDG...IDG D96 E98 G98  
3 3 0 .BCCD..B.FDE.AAF.E.HH......I.G...I.G E99 H99 G98  
3 3 0 .BCC.E.B.F.E.AAF...HH......IDG...IDG D96 H99 G98  
3 3 0 .BCCDE.B.FDE.AAF..HH.I.G...I.G...... G99 I99 H98  
3 3 0 .BCC.E.B.F.E.AAF......HH...IDG...IDG H98 D96 G98  
3 3 0 .B.CCE.B.F.E.AAF....HH.G...IDG...ID. G99 C99 D96  
3 3 0 .BCC.E.B.F.E.AAF...HH.D....IDG...I.G D97 H99 G98  
3 3 0 .BCC.E.B.F.E.AAFD..HH.D....I.G...I.G D98 H99 G98  
3 3 0 .BCC.E.B.F.E.AAF...HH..G...IDG...ID. G99 H99 D96  
3 3 0 .BCC.E.B.F.E.AAFD.HH..DG...I.G...I.. G99 D98 H98  
3 3 0 .BCC.E.B.F.EAA.FDGHH..DG...I.....I.. A99 D98 H98  
3 3 0 .BCC.E.B.F.E.AAF.....HHG...IDG...ID. G99 H99 D96  
3 3 0 .B.CCE.B.F.E.AAFD...HHD....I.G...I.G C99 D98 G98  
3 3 0 .B.CCE.B.F.E.AAFDGHH..DG...I.....I.. C99 D98 H98  
3 3 0 .BCC.E.B.FDE.AAFD....HHG...I.G...I.. G99 H99 D99  
3 3 0 .BCC.E.B.F.EAA.F.G...HHG...ID....ID. A99 H99 D96  
3 3 0 .BCC.E.B.FDEAA.FDG...HHG...I.....I.. A99 H99 D99  
3 3 0 .B.CCE.B.FDE.AAFDG...HHG...I.....I.. C99 H99 D99  
3 3 0 .BCC.E.B.F.E.AAF...HH.DG...IDG...I.. G99 H99 D97  
3 3 0 .BCC.E.B.F.EAA.FDG.HH.DG...I.....I.. H99 A99 D98  
3 3 0 .BCCDE.B.FDEAA.F...HH..G...I.G...I.. G99 H99 A99  
3 3 0 .BCCD..B.FDEAA.F.E..HH.G...I.G...I.. E99 A99 G99  
3 3 0 .BCC.E.B.F.E.AAF..HH...G...IDG...ID. G99 D96 H98  
3 3 0 .BCC.E.B.F.EAA.F.GHH...G...ID....ID. A99 D96 H98  
3 3 0 .BCC.E.B.F.EAA.F....HH.G...IDG...ID. G99 D96 A99  
3 3 0 .B.CCE.B.F.E.AAF.GHH...G...ID....ID. C99 D96 H98  
3 3 0 .BCCDE.B..DE.AAF...HHF.G...I.G...I.. G99 F99 H99  
3 3 0 .B.CCE.B.F.E.AAF....HHD....IDG...I.G C99 G98 D97  
3 3 0 .B.CCE.B.F.E.AAFDG.HH.DG...I.....I.. H99 C99 D98  
3 3 0 .BCCDE.B..DEAA.F.G.HHF.G...I.....I.. A99 F99 H99  
3 3 0 .BCC.E.B...E.AAF.G.HHF.G...ID....ID. D96 F99 H99  
3 3 0 .BCCD..B.FDE.AAF.E...HHG...I.G...I.. E99 H99 G99  
3 3 0 .BCC.E.B...E.AAF.G.HHFDG...ID....I.. D97 F99 H99  
3 3 0 .BCC.E.B...E.AAFDG.HHFDG...I.....I.. D98 F99 H99  
3 3 0 .BCCD..B.FDE.AAF.E.HH..G...I.G...I.. E99 H99 G99  
3 3 0 .BCCDE.B.FDEAA.F..HH...G...I.G...I.. H98 A99 G99  
3 3 0 .BCC...B.F.E.AAFDE..HHDG...I.G...I.. D98 E99 G99  
3 3 0 .BCCDE.B.FDE.AAF...HHI.G...I.G...... G99 I99 H99  
3 3 0 .BCCDE.B.FDEAA.F.G.HHI.G...I........ A99 I99 H99  
3 3 0 .BCC.E.B.F.EAA.F....HHDG...IDG...I.. A99 G99 D97  
3 3 0 .BCC.E.B.F.E.AAF.G.HHI.G...ID.....D. D96 I99 H99  
3 3 0 .BCC.E.B.F.E.AAF.G.HHIDG...ID....... D97 I99 H99  
3 3 0 .BCCD..B.FDE.AAF.EHH...G...I.G...I.. H98 E99 G99  
3 3 0 .BCC...B.F.E.AAF.E..HH.G...IDG...ID. D96 E99 G99  
3 3 0 .BCC.E.B.F.E.AAFDG.HHIDG...I........ D98 I99 H99  
3 3 0 .BCCDE.B..DEAA.F.GHH.F.G...I.....I.. A99 F99 H98  
3 3 0 .B.CCE.B.F.EAA.F.G..HHDG...ID....I.. C99 A99 D97  
3 3 0 .BCC.E.B...E.AAF.GHH.F.G...ID....ID. D96 F99 H98  
4 4 0 .BCC.E.B.FDE.AAFD..HHI.G...I.G...... G99 I99 H99 D99  
4 4 0 .BCC.E.B.FDE.AAFD.HH.I.....I.G.....G D99 I99 H98 G98  
4 4 0 .BCC.E.B...E.AAF..HH.FD....IDG...I.G G98 D97 F99 H98  
4 4 0 .B.CCE.B.F.E.AAFD.HH..DG...I.G...I.. H98 G99 C99 D98  
4 4 0 .BCC.E.B.F.EAA.F.G.HHI.G...ID.....D. I99 A99 H99 D96  
4 4 0 .BCC.E.B..DE.AAFD..HHF.G...I.G...I.. F99 G99 H99 D99  
4 4 0 .BCC...B.F.EAA.F.E..HH.....IDG...IDG D96 E99 A99 G98  
4 4 0 .BCC...B.FDEAA.FDE..HH.....I.G...I.G D99 E99 A99 G98  
4 4 0 .BCC.E.B.FDE.AAFD..HHI.....I.G.....G G98 I99 H99 D99  
4 4 0 .BCC.E.B.FDEAA.FDG.HHI.G...I........ A99 I99 H99 D99  
4 4 0 .BCCDE.B.FDEAA.F..HH.I.....I.G.....G A99 I99 H98 G98  
4 4 0 .B.CCE.B.FDE.AAFDG.HHI.G...I........ C99 I99 H99 D99  
4 4 0 .BCC.E.B.F.E.AAF..HH.I.G...IDG....D. G99 I99 D96 H98  
4 4 0 .B.CCE.B.F.E.AAF..HH..DG...IDG...I.. H98 C99 G99 D97  
4 4 0 .BCCDE.B..DEAA.F..HH.F.....I.G...I.G F99 A99 H98 G98  
4 4 0 .BCC.E.B.FDEAA.FD.HH...G...I.G...I.. H98 A99 G99 D99  
4 4 0 .BCC.E.B.F.E.AAFD..HHIDG...I.G...... I99 D98 H99 G99  
4 4 0 .BCC.E.B.FDE.AAFD.HH.I.G...I.G...... G99 I99 H98 D99  
4 4 0 .BCC.E.B...E.AAFD.HH.FD....I.G...I.G G98 D98 F99 H98  
4 4 0 .BCC.E.B.F.EAA.FD.HH..DG...I.G...I.. H98 G99 A99 D98  
4 4 0 .B.CCE.B.F.EAA.FDGHH..DG...I.....I.. H98 C99 A99 D98  
4 4 0 .BCCDE.B..DEAA.F...HHF.....I.G...I.G A99 G98 F99 H99  
4 4 0 .B.CCE.B.F.E.AAF...HH......IDG...IDG H99 C99 D96 G98  
4 4 0 .BCCD..B..D..AAF.EHH.F.E...I.G...I.G E98 F99 H98 G98  
4 4 0 .BCC.E.B.F.EAA.F.G.HHIDG...ID....... I99 A99 H99 D97  
4 4 0 .BCCDE.B..DEAA.F..HH.F.G...I.G...I.. A99 G99 F99 H98  
4 4 0 .BCC...B.F...AAF.EHH...E...IDG...IDG D96 E98 H98 G98  
4 4 0 .B.CCE.B.F.E.AAF.G.HHIDG...ID....... I99 C99 H99 D97  
4 4 0 .BCC...B.F.E.AAF.EHH.......IDG...IDG D96 E99 H98 G98  
4 4 0 .BCCDE.B.FDEAA.F...HHI.....I.G.....G A99 G98 I99 H99  
4 4 0 .B.CCE.B.F.E.AAFDGHH.IDG...I........ C99 I99 D98 H98  
4 4 0 .B.CCE.B.FDE.AAFD.HH...G...I.G...I.. C99 G99 H98 D99  
4 4 0 .B.CCE.B.F.EAA.F.GHH...G...ID....ID. H98 A99 C99 D96  
4 4 0 .BCC...B.F..AA.FDE..HHDE...I.G...I.G A99 D98 E98 G98  
4 4 0 .B..CC.B.F...AAFDE..HHDE...I.G...I.G C98 D98 E98 G98  
4 4 0 .B.CCE.B.F.E.AAF.....HH....IDG...IDG G98 C99 H99 D96  
4 4 0 .B.CCE.B.F.E.AAF..HH.......IDG...IDG C99 D96 H98 G98  
4 4 0 .B.CC..B.F...AAFDE..HHDE...I.G...I.G C99 D98 E98 G98  
4 4 0 .BCC...B.F..AA.F.E..HHDE...IDG...I.G A99 D97 E98 G98  
4 4 0 .BCC.E.B.F.EAA.F.....HH....IDG...IDG A99 H99 D96 G98  
4 4 0 .B..CC.B.F...AAF.E..HHDE...IDG...I.G C98 D97 E98 G98  
4 4 0 .B.CC..B.F...AAF.E..HHDE...IDG...I.G C99 D97 E98 G98  
4 4 0 .B.CCE.B.F.E.AAF..HH..D....IDG...I.G C99 D97 H98 G98  
4 4 0 .BCCDE.B.FDEAA.F..HH.I.G...I.G...... G99 A99 I99 H98  
4 4 0 .BCCD..B.FD.AA.F.E...HHE...I.G...I.G E98 A99 H99 G98  
4 4 0 .BCC...B.F.EAA.FDE..HHD....I.G...I.G A99 D98 E99 G98  
4 4 0 .BCCD..B.FDEAA.F.E....HH...I.G...I.G H98 E99 A99 G98  
4 4 0 .BCCD..B..DE.AAF.E...FHH...I.G...I.G E99 F99 H98 G98  
4 4 0 .B..CC.B.F.E.AAFDE..HHD....I.G...I.G C98 D98 E99 G98  
4 4 0 .B.CCE.B.F.E.AAF.G.HHI.G...ID.....D. I99 C99 H99 D96  
4 4 0 .B.CC..B.F.E.AAFDE..HHD....I.G...I.G C99 D98 E99 G98  
4 4 0 .BCC...B.F.EAA.F.E..HHD....IDG...I.G A99 D97 E99 G98  
4 4 0 .B.CCE.B.F.E.AAFD.HH..D....I.G...I.G C99 D98 H98 G98  
4 4 0 .BCCD..B.FD.AA.F.E.HH..E...I.G...I.G E98 A99 H99 G98  
4 4 0 .B..CC.B.F.E.AAF.E..HHD....IDG...I.G C98 D97 E99 G98  
4 4 0 .B.CC..B.F.E.AAF.E..HHD....IDG...I.G C99 D97 E99 G98  
4 4 0 .BCC.E.B.FDEAA.FD....HH....I.G...I.G A99 G98 H99 D99  
4 4 0 .BCCD..B.FDEAA.F.E...HH....I.G...I.G E99 A99 H99 G98  
4 4 0 .BCCD..B.FDEAA.F.E.HH......I.G...I.G E99 A99 H99 G98  
4 4 0 .BCC.E.B.F.EAA.FD..HH.D....I.G...I.G D98 A99 H99 G98  
4 4 0 .BCC...B.F.E.AAF.E.HH.D....IDG...I.G H99 D97 E99 G98  
4 4 0 .B.CCE.B.FDE.AAFD.HH.......I.G...I.G C99 G98 H98 D99  
4 4 0 .BCC.E.B.F.E.AAFD.HH.IDG...I.G...... G99 I99 D98 H98  
4 4 0 .BCC.E.B.FDEAA.FD..HH......I.G...I.G D99 A99 H99 G98  
4 4 0 .BCC...B.FD..AAFDE...HHE...I.G...I.G E98 G98 H99 D99  
4 4 0 .BCC...B.F.E.AAFDE.HH.D....I.G...I.G H99 D98 E99 G98  
4 4 0 .BCC...B.FDE.AAFDE...HH....I.G...I.G E99 G98 H99 D99  
4 4 0 .B.CCE.B.FDE.AAFD....HH....I.G...I.G C99 G98 H99 D99  
4 4 0 .BCC...B.F...AAF.E.HH.DE...IDG...I.G H99 D97 E98 G98  
4 4 0 .BCC...B.FDE.AAFDEHH...G...I.G...I.. E99 G99 H98 D99  
4 4 0 .BCC.E.B.F.EAA.F.GHH.IDG...ID....... D97 A99 I99 H98  
4 4 0 .BCC.E.B.F.EAA.FDGHH.IDG...I........ D98 A99 I99 H98  
4 4 0 .BCC...B.F...AAFDE.HH.DE...I.G...I.G H99 D98 E98 G98  
4 4 0 .B.CCE.B.F.E.AAF...HH..G...IDG...ID. G99 C99 H99 D96  
4 4 0 .B.CCE.B...E.AAF.G.HHF.G...ID....ID. F99 C99 H99 D96  
4 4 0 .BCC.E.B.F.EAA.F......HH...IDG...IDG H98 D96 A99 G98  
4 4 0 .B.CCE.B.F.EAA.F....HHD....IDG...I.G C99 D97 A99 G98  
4 4 0 .BCCDE.B.FDEAA.F.....IHH...I.G.....G A99 I99 H98 G98  
