0 0 0 B..OOOB..C.PAA.CDPQQQ.DP..E.FFGGEHH.  
1 1 0 B.OOO.B..C.PAA.CDPQQQ.DP..E.FFGGEHH. O99  
1 1 0 B..OOOB....PAA.CDPQQQCDP..E.FFGGEHH. C99  
1 1 0 B..OOOB..C.PAA.CDP.QQQDP..E.FFGGEHH. Q99  
1 1 0 B..OOOB..C.PAA.CDPQQQ.DP..E.FFGGE.HH H99  
1 1 0 B..OOOB..CDPAA.CDPQQQ..P..E.FFGGEHH. D99  
1 1 0 BOOO..B..C.PAA.CDPQQQ.DP..E.FFGGEHH. O98  
1 1 0 B..OOOB..C.P.AACDPQQQ.DP..E.FFGGEHH. A99  
1 1 0 B..OOOB....PAA..DPQQQCDP..ECFFGGEHH. C98  
1 1 0 B..OOOB..C.PAA.CDPQQQ.DP..EFF.GGEHH. F99  
2 2 0 B.OOO.B..C.PAA.CDPQQQ.DP..EFF.GGEHH. F99 O99  
2 2 0 B.OOO.B..C.PAA.CDPQQQ.DP..E.FFGGE.HH H99 O99  
2 2 0 B..OOOB..C.PAA.CDP.QQQDP..E.FFGGE.HH H99 Q99  
2 2 0 B..OOOB..CDP.AACDPQQQ..P..E.FFGGEHH. A99 D99  
2 2 0 B..OOOB....P..AADPQQQCDP..ECFFGGEHH. A98 C98  
2 2 0 B..OOOB..C..AA.CD.QQQ.DP..EFFPGGEHHP P98 F99  
2 2 0 B..OOOB...DPAA..DPQQQC.P..ECFFGGEHH. C98 D99  
2 2 0 B.OOO.B..C.PAA.CDP.QQQDP..E.FFGGEHH. Q99 O99  
2 2 0 BOOO..B..CDPAA.CDPQQQ..P..E.FFGGEHH. O98 D99  
2 2 0 B..OOOB..CDPAA.CDPQQQ..P..E.FFGGE.HH D99 H99  
2 2 0 B.OOO.B..CDPAA.CDPQQQ..P..E.FFGGEHH. D99 O99  
2 2 0 B..OOOB....PAA.CDPQQQCDP..E.FFGGE.HH H99 C99  
2 2 0 B..OOOB..C.P.AACDPQQQ.DP..E.FFGGE.HH A99 H99  
2 2 0 B..OOOB....PAA..DPQQQ.DP..ECFFGGECHH C97 H99  
2 2 0 B.OOO.B..C.P.AACDPQQQ.DP..E.FFGGEHH. A99 O99  
2 2 0 B..OOOB....PAA..DPQQQCDP..ECFFGGE.HH C98 H99  
2 2 0 BOOO..B..C.PAA.CDPQQQ.DP..E.FFGGE.HH O98 H99  
2 2 0 B.OOOPB..C.PAA.CDPQQQ.D...E.FFGGEHH. P99 O99  
2 2 0 B..OOOB..C.PAA.CDP.QQQDP..EFF.GGEHH. F99 Q99  
2 2 0 B..OOOB..C.PAA.CDPQQQ.DP..EFF.GGE.HH F99 H99  
2 2 0 B..OOOB..C.P.AACDPQQQ.DP..EFF.GGEHH. F99 A99  
2 2 0 B..OOOB..CDPAA.CDP.QQQ.P..E.FFGGEHH. D99 Q99  
2 2 0 B.OOO.B....PAA..DPQQQCDP..ECFFGGEHH. C98 O99  
2 2 0 B..OOOB..C.P.AACDP.QQQDP..E.FFGGEHH. A99 Q99  
2 2 0 BOOO..B..C.PAA.CDP.QQQDP..E.FFGGEHH. O98 Q99  
2 2 0 B.OOO.B....PAA.CDPQQQCDP..E.FFGGEHH. C99 O99  
2 2 0 B..OOOB....PAA.CDPQQQCDP..EFF.GGEHH. F99 C99  
2 2 0 BOOO..B..C.PAA.CDPQQQ.DP..EFF.GGEHH. F99 O98  
2 2 0 B..OOOB..C..AA.CDPQQQ.DP..EFFPGGEHH. P99 F99  
2 2 0 B..OOOB....P.AA.DPQQQCDP..ECFFGGEHH. C98 A99  
2 2 0 B..OOOB...DPAA.CDPQQQC.P..E.FFGGEHH. D99 C99  
2 2 0 ...OOOB..C.PBAACDPQQQ.DP..E.FFGGEHH. B99 A99  
2 2 0 BOOOD.B..CDPAA.C.PQQQ..P..E.FFGGEHH. D98 O98  
2 2 0 B..OOOB....P.AACDPQQQCDP..E.FFGGEHH. A99 C99  
2 2 0 B..OOOB..CDPAA.CDPQQQ..P..EFF.GGEHH. F99 D99  
2 2 0 BOOO..B..C.P.AACDPQQQ.DP..E.FFGGEHH. A99 O98  
2 2 0 BOOO.PB..C.PAA.CDPQQQ.D...E.FFGGEHH. P99 O98  
2 2 0 BOOO..B....PAA.CDPQQQCDP..E.FFGGEHH. O98 C99  
2 2 0 BOOO..B....PAA..DPQQQCDP..ECFFGGEHH. C98 O98  
2 2 0 B..OOOB..CDPAA.CDP..QQQP..E.FFGGEHH. Q98 D99  
3 3 0 B..OOOB....PAA.CDPQQQCDP..EFF.GGE.HH F99 H99 C99  
3 3 0 B.OOOPB....PAA.CDPQQQCD...E.FFGGEHH. C99 P99 O99  
3 3 0 BOOOD.B..CDPAA.C.PQQQ..P..E.FFGGE.HH D98 O98 H99  
3 3 0 B.OOO.B....PAA..DPQQQCDP..ECFFGGE.HH C98 H99 O99  
3 3 0 BOOO.PB..C.PAA.CDPQQQ.D...E.FFGGE.HH P99 O98 H99  
3 3 0 B.OOO.B....P.AA.DPQQQCDP..ECFFGGEHH. C98 A99 O99  
3 3 0 B.OOO.B....PAA.CDPQQQCDP..E.FFGGE.HH C99 H99 O99  
3 3 0 B.OOO.B....P.AACDPQQQCDP..E.FFGGEHH. C99 A99 O99  
3 3 0 BOOO..B....PAA..DPQQQCDP..ECFFGGE.HH O98 C98 H99  
3 3 0 B.OOOPB....PAA..DPQQQCD...ECFFGGEHH. C98 P99 O99  
3 3 0 B..OOOB....P.AACDPQQQCDP..EFF.GGEHH. C99 F99 A99  
3 3 0 BOOO.PB....PAA.CDPQQQCD...E.FFGGEHH. C99 P99 O98  
3 3 0 ..OOO.B..C.PBAACDPQQQ.DP..E.FFGGEHH. B99 A99 O99  
3 3 0 B.OOO.B..C.PAA.CDP.QQQDP..EFF.GGEHH. Q99 F99 O99  
3 3 0 B..OOOB....P..AADPQQQ.DP..ECFFGGECHH A98 C97 H99  
3 3 0 BOOO..B....PAA..DPQQQ.DP..ECFFGGECHH O98 C97 H99  
3 3 0 B.OOO.B..CDPAA.CDPQQQ..P..EFF.GGEHH. D99 F99 O99  
3 3 0 B..OOOB....P.AA.DPQQQ.DP..ECFFGGECHH C97 A99 H99  
3 3 0 BOOO..B..C.PAA.CDPQQQ.DP..EFF.GGE.HH F99 O98 H99  
3 3 0 B..OOOB....P.AA.DPQQQCDP..ECFFGGE.HH C98 A99 H99  
3 3 0 B.OOO.B..C.P.AACDPQQQ.DP..EFF.GGEHH. A99 F99 O99  
3 3 0 BOOO..B..C.P.AACDPQQQ.DP..E.FFGGE.HH O98 A99 H99  
3 3 0 ...OOOB..C.PBAACDPQQQ.DP..E.FFGGE.HH B99 A99 H99  
3 3 0 B.OOO.B..C..AA.CD.QQQ.DP..EFFPGGEHHP P98 F99 O99  
3 3 0 B..OOOB....P.AACDPQQQCDP..E.FFGGE.HH A99 H99 C99  
3 3 0 B..OOOB..CDPAA.CDP.QQQ.P..EFF.GGEHH. D99 F99 Q99  
3 3 0 B..OOOB..C...AACDPQQQ.DP..EFFPGGEHH. P99 F99 A99  
3 3 0 BOOO..B....PAA.CDPQQQCDP..E.FFGGE.HH O98 H99 C99  
3 3 0 B.OOO.B..C..AA.CDPQQQ.DP..EFFPGGEHH. P99 F99 O99  
3 3 0 B.OOOPB..CDPAA.CDPQQQ.....E.FFGGEHH. P99 D99 O99  
3 3 0 B.OOO.B...DPAA.CDPQQQC.P..E.FFGGEHH. C99 D99 O99  
3 3 0 B.OOOPB..C.PAA.CDPQQQ.D...EFF.GGEHH. P99 F99 O99  
3 3 0 B..OOOB..CDPAA.CDP..QQQP..E.FFGGE.HH Q98 D99 H99  
3 3 0 B..OOOB..C..AA.CDPQQQ.DP..EFFPGGE.HH P99 F99 H99  
3 3 0 B..OOOB...DPAA..DPQQQ..P..ECFFGGECHH C97 D99 H99  
3 3 0 B.OOO.B....PAA.CDPQQQCDP..EFF.GGEHH. C99 F99 O99  
3 3 0 B..OOOB...DPAA.CDPQQQC.P..E.FFGGE.HH C99 D99 H99  
3 3 0 BOOO..B..CDPAA.CDPQQQ..P..EFF.GGEHH. F99 O98 D99  
3 3 0 BOOO..B..CDPAA.CDP..QQQP..E.FFGGEHH. Q98 O98 D99  
3 3 0 BOOO..B..C.P.AACDPQQQ.DP..EFF.GGEHH. O98 F99 A99  
3 3 0 BOOOD.B..CDPAA.C.P.QQQ.P..E.FFGGEHH. D98 O98 Q99  
3 3 0 B..OOOB..CD.AA.CDPQQQ..P..EFFPGGEHH. D99 P99 F99  
3 3 0 BOOO.PB....PAA..DPQQQCD...ECFFGGEHH. C98 P99 O98  
3 3 0 BOOO..B..CDPAA.CDP.QQQ.P..E.FFGGEHH. Q99 O98 D99  
3 3 0 BOOO.PB..CDPAA.CDPQQQ.....E.FFGGEHH. P99 O98 D99  
3 3 0 BOOO..B..C.P.AACDP.QQQDP..E.FFGGEHH. O98 A99 Q99  
3 3 0 BOOO..B...DPAA.CDPQQQC.P..E.FFGGEHH. C99 O98 D99  
3 3 0 B.OOO.B..C.P.AACDP.QQQDP..E.FFGGEHH. A99 Q99 O99  
3 3 0 BOOO.PB..C.PAA.CDP.QQQD...E.FFGGEHH. P99 O98 Q99  
3 3 0 BOOOD.B..CDPAA.C.PQQQ..P..EFF.GGEHH. D98 F99 O98  
3 3 0 B.OOOPB..C.PAA.CDP.QQQD...E.FFGGEHH. P99 Q99 O99  
3 3 0 BOOO..B...DPAA..DPQQQC.P..ECFFGGEHH. O98 C98 D99  
3 3 0 B..OOOB...DPAA.CDPQQQC.P..EFF.GGEHH. D99 F99 C99  
3 3 0 B.OOO.B...DPAA..DPQQQC.P..ECFFGGEHH. O99 C98 D99  
3 3 0 B..OOOB..CD.AA.CD.QQQ..P..EFFPGGEHHP D99 P98 F99  
3 3 0 BOOO..B....P.AA.DPQQQCDP..ECFFGGEHH. O98 C98 A99  
3 3 0 ...OOOB....PBAACDPQQQCDP..E.FFGGEHH. C99 B99 A99  
3 3 0 BOOO.PB..C.P.AACDPQQQ.D...E.FFGGEHH. P99 A99 O98  
3 3 0 B..OOOB..C...AACD.QQQ.DP..EFFPGGEHHP A99 P98 F99  
3 3 0 B..OOOB.....AA.CD.QQQCDP..EFFPGGEHHP C99 P98 F99  
3 3 0 ...OOOB....PBAA.DPQQQCDP..ECFFGGEHH. B99 C98 A99  
3 3 0 BOOO..B..C..AA.CD.QQQ.DP..EFFPGGEHHP O98 P98 F99  
3 3 0 B..OOOB...DP..AADPQQQC.P..ECFFGGEHH. D99 A98 C98  
3 3 0 BOOOD.B..CDPAA.C.P..QQQP..E.FFGGEHH. Q98 D98 O98  
3 3 0 B..OOOB..CDPAA.CDP..QQQP..EFF.GGEHH. Q98 F99 D99  
3 3 0 BOOO..B....P..AADPQQQCDP..ECFFGGEHH. O98 A98 C98  
3 3 0 B.OOO.B....P..AADPQQQCDP..ECFFGGEHH. O99 A98 C98  
3 3 0 BOOO..B....P.AACDPQQQCDP..E.FFGGEHH. O98 A99 C99  
3 3 0 ...OOOB....PB.AADPQQQCDP..ECFFGGEHH. B99 A98 C98  
4 4 0 B.OOO.B..C.PAA.CDP.QQQDP..EFF.GGE.HH Q99 H99 F99 O99  
4 4 0 B..OOOB..CD..AACDPQQQ..P..EFFPGGEHH. P99 F99 A99 D99  
4 4 0 B..OOOB..CDP.AACDPQQQ..P..EFF.GGE.HH H99 F99 A99 D99  
4 4 0 BOOODPB..CDPAA.C.PQQQ.....E.FFGGE.HH H99 P99 D98 O98  
4 4 0 BOOOD.B...DPAA...PQQQC.P..ECFFGGE.HH H99 C98 D98 O98  
4 4 0 BOOOD.B..CDPAA.C.P..QQQP..E.FFGGE.HH Q98 D98 O98 H99  
4 4 0 ...OOOB..C.PBAACDPQQQ.DP..EFF.GGE.HH B99 F99 A99 H99  
4 4 0 OOO...B....PB.AADPQQQCDP..ECFFGGEHH. O97 B99 A98 C98  
4 4 0 B..OOOB...DP.AACDPQQQC.P..EFF.GGEHH. C99 F99 A99 D99  
4 4 0 B..OOOB..CDPAA.CDP.QQQ.P..EFF.GGE.HH D99 F99 H99 Q99  
4 4 0 BOOO..B..CDP.AACDPQQQ..P..EFF.GGEHH. O98 F99 A99 D99  
4 4 0 B.OOO.B..CDP.AACDPQQQ..P..EFF.GGEHH. O99 F99 A99 D99  
4 4 0 ...OOOB..CDPBAACDPQQQ..P..EFF.GGEHH. B99 F99 A99 D99  
4 4 0 B..OOOB...DP..AADPQQQC.P..ECFFGGE.HH A98 H99 C98 D99  
4 4 0 BOOOD.B..CDP.AAC.PQQQ..P..E.FFGGE.HH H99 A99 D98 O98  
4 4 0 B..OOOB..C.P.AACDP.QQQDP..EFF.GGE.HH A99 F99 H99 Q99  
4 4 0 B..OOOB..C..AA.CDP.QQQDP..EFFPGGE.HH P99 F99 H99 Q99  
4 4 0 B.OOOPB..C.P.AACDPQQQ.D...E.FFGGE.HH H99 P99 A99 O99  
4 4 0 BOOO..B..C.PAA.CDP.QQQDP..EFF.GGE.HH O98 F99 H99 Q99  
4 4 0 B.OOO.B..CDPAA.CDPQQQ..P..EFF.GGE.HH D99 H99 F99 O99  
4 4 0 B..OOOB..CDP.AACDP..QQQP..E.FFGGE.HH H99 Q98 A99 D99  
4 4 0 B..OOOB..CDP.AACDP.QQQ.P..E.FFGGE.HH H99 Q99 A99 D99  
4 4 0 BOOO..B....P..AADPQQQCDP..ECFFGGE.HH O98 H99 A98 C98  
4 4 0 B.OOOPB..CDPAA.CDP..QQQ...E.FFGGEHH. P99 Q98 D99 O99  
4 4 0 B.OOO.B..C.P.AACDPQQQ.DP..EFF.GGE.HH A99 H99 F99 O99  
4 4 0 B.OOO.B....P.AA.DPQQQCDP..ECFFGGE.HH C98 A99 H99 O99  
4 4 0 B.OOO.B....P.AACDPQQQCDP..E.FFGGE.HH C99 A99 H99 O99  
4 4 0 B.OOO.B..C..AA.CDPQQQ.DP..EFFPGGE.HH P99 H99 F99 O99  
4 4 0 B.OOO.B..CDPAA.CDP.QQQ.P..E.FFGGE.HH D99 Q99 H99 O99  
4 4 0 ..OOO.B..C.PBAACDPQQQ.DP..E.FFGGE.HH B99 A99 H99 O99  
4 4 0 ..OOO.B..C.PBAACDP.QQQDP..E.FFGGEHH. O99 B99 A99 Q99  
4 4 0 B.OOOPB..C.PAA.CDPQQQ.D...EFF.GGE.HH P99 H99 F99 O99  
4 4 0 OOO......C.PBAACDPBQQQDP..E.FFGGEHH. O97 B98 A99 Q99  
4 4 0 .OOO.....C.PBAACDPBQQQDP..E.FFGGEHH. O98 B98 A99 Q99  
4 4 0 B.OOO.B....PAA.CDPQQQCDP..EFF.GGE.HH C99 H99 F99 O99  
4 4 0 B..OOOB...DP.AACDPQQQC.P..E.FFGGE.HH H99 C99 A99 D99  
4 4 0 ..OOO.B..CDPBAACDPQQQ..P..E.FFGGEHH. B99 O99 A99 D99  
4 4 0 ..OOO....C.PBAACDPBQQQDP..E.FFGGEHH. O99 B98 A99 Q99  
4 4 0 B.OOOPB..CDPAA.CDPQQQ.....E.FFGGE.HH P99 D99 H99 O99  
4 4 0 BOOO..B...DP.AA.DPQQQC.P..ECFFGGEHH. O98 C98 A99 D99  
4 4 0 B.OOO.B...DPAA..DPQQQ..P..ECFFGGECHH C97 D99 H99 O99  
4 4 0 B.OOO.B...DPAA.CDPQQQC.P..E.FFGGE.HH C99 D99 H99 O99  
4 4 0 B..OOOB...DP.AA.DPQQQ..P..ECFFGGECHH C97 H99 A99 D99  
4 4 0 BOOO.PB..CDP.AACDPQQQ.....E.FFGGEHH. P99 O98 A99 D99  
4 4 0 ...OOO...C.P.AACDPBQQQDPB.EFF.GGEHH. F99 B97 A99 Q99  
4 4 0 OOO......C.P.AACDPBQQQDPB.E.FFGGEHH. O97 B97 A99 Q99  
4 4 0 B..OOOB..CD.AA.CD..QQQ.P..EFFPGGEHHP D99 Q99 P98 F99  
4 4 0 .OOO.....C.P.AACDPBQQQDPB.E.FFGGEHH. O98 B97 A99 Q99  
4 4 0 ..OOO....C.P.AACDPBQQQDPB.E.FFGGEHH. O99 B97 A99 Q99  
4 4 0 OOO...B..CDPBAACDPQQQ..P..E.FFGGEHH. O97 B99 A99 D99  
4 4 0 OOO...B..C.PBAACDPQQQ.DP..E.FFGGE.HH H99 O97 B99 A99  
4 4 0 B..OOOB...DPAA..DP.QQQ.P..ECFFGGECHH D99 Q99 C97 H99  
4 4 0 BOOO..B...DPAA.CDPQQQC.P..EFF.GGEHH. D99 O98 F99 C99  
4 4 0 BOOO..B....PAA.CDPQQQCDP..EFF.GGE.HH H99 O98 F99 C99  
4 4 0 BOOOD.B..CDPAA.C.PQQQ..P..EFF.GGE.HH F99 D98 O98 H99  
4 4 0 BOOO..B....P.AACDPQQQCDP..EFF.GGEHH. A99 O98 F99 C99  
4 4 0 BOOOD.B...DPAA.C.PQQQC.P..E.FFGGE.HH H99 C99 D98 O98  
4 4 0 BOOO..B.....AA.CD.QQQCDP..EFFPGGEHHP P98 O98 F99 C99  
4 4 0 BOOO.PB..CDPAA.CDPQQQ.....E.FFGGE.HH P99 H99 O98 D99  
4 4 0 BOOO..B..CDPAA.CDP.QQQ.P..E.FFGGE.HH O98 D99 H99 Q99  
4 4 0 B..OOOB..CDPAA.CDP..QQQP..EFF.GGE.HH Q98 F99 D99 H99  
4 4 0 BOOO..B...DPAA..DPQQQ..P..ECFFGGECHH C97 H99 O98 D99  
4 4 0 BOOO..B...DPAA.CDPQQQC.P..E.FFGGE.HH C99 H99 O98 D99  
4 4 0 B.OOO.B..CDPAA.CDP.QQQ.P..EFF.GGEHH. F99 D99 Q99 O99  
4 4 0 BOOO.PB..C.PAA.CDP.QQQD...E.FFGGE.HH P99 O98 H99 Q99  
4 4 0 B..OOOB...D.AA.CDPQQQC.P..EFFPGGEHH. D99 P99 F99 C99  
4 4 0 .OOO..B..C.PBAACDPQQQ.DP..E.FFGGE.HH H99 O98 B99 A99  
4 4 0 BOOO..B..C.P.AACDP.QQQDP..E.FFGGE.HH O98 A99 H99 Q99  
4 4 0 B..OOOB......AACDPQQQCDP..EFFPGGEHH. A99 P99 F99 C99  
4 4 0 BOOO..B..CDPAA.CDP..QQQP..E.FFGGE.HH Q98 H99 O98 D99  
4 4 0 B.OOO.B.....AA.CDPQQQCDP..EFFPGGEHH. O99 P99 F99 C99  
4 4 0 BOOO..B..C..AA.CDPQQQ.DP..EFFPGGE.HH H99 P99 F99 O98  
4 4 0 BOOO.PB..C.PAA.CDP.QQQD...EFF.GGEHH. Q99 P99 F99 O98  
4 4 0 BOOO.PB..CDPAA.CDPQQQ.....EFF.GGEHH. D99 P99 F99 O98  
4 4 0 BOOO.PB..C.P.AACDPQQQ.D...EFF.GGEHH. A99 P99 F99 O98  
